tweet_id,label,text
866871160725794816,0,Triple Talaq par Burbak Kuchh nahi bolega
880356789358743553,1,Batao ye uss site pr se akki sir ke verdict nikaal laaye jaha he ajay ki ek bi movie hit nai
877751493889105920,0,Hindu baheno par julam bardas nahi hoga Hindu daram par lago hoga hamari Hindu baheno ki soraksa ke liye
901806457871466496,0,Naa bhai.. aisa nhi hai.. mere handle karne se bhi kuchh hona nhi hai.. politics se mera door door tak ka naata nhi hai
866264330748219392,0,Remembering Rajiv aaj agar musalman auraten triple talaq ki wajah se itni jaleel ho rahi hai to iss ka sabse bada reason Rajib gandhi hai.
907509359864958976,0,are cricket se sanyas le liya kya viru aur social service suru kardiya.khel hi bhul gaye.2 innings 0 n 0
903128417524224000,0,Sohail bahi hame bhi treen kardo muje bhi shock he cricket
899703167801217024,0,bhai triple talaq se aap kya samjhte hai samjhaye aap zara ..agar triple talaq pta hota apko toh aisa nhi kehte..
896259234400055298,0,Bachcho ki death par politics ke bajay unke liye prayer aur unki family ko console kiya jana jyada zaruri he.. thodi humanity bhi zaruri he
904306851541532672,0,"# lijiye S Thakur ne phir pahni no.10 jarsi, inka kharab din chalu ho gaya..Slsvind"
901495719919472641,0,Itna hungama to Triple Talaq par muslims me bhi nahi hua.. Jitna Ram Rahim Verdict par Dharamguruao me ho raha h.. Congress With Ram Rahim
906086240813907969,0,Bollywood Bhaag Milkha Bhaag!
906443216718671872,0,bhau Bollywood ka main adda Mumbai hai... Jaha rahne k liye heroin ki cha mud jati hai. Aao kabhi haweli(Maharashtra) pe
900572558302486528,0,Bhai kuchh bhi karna iss ke saath movie mat karna..Bollywood se nafrat ho jaati hai..Itni sadi hui ghatiya filmein banata h ye
909356251892424706,0,"veerupanti : tag line ""Cricket jo hai Anishchittaon ka khel hai """
901102287271059456,0,Chayawadi baat kyu kr rhi hai madam aap..khul kr condem kegeye..mere smjh se administrator ko politics se dur rhna chahiye..desh ke liye
831880812161282049,1,Abusing tweet ke liye Account suspend karte ho... Woh bhi wo desh me... Jahan gali gali me yahi language use hota hai... Irony
900045667158040576,0,Hindu Married men to Mr. Modi: triple talaq toh nipat gaya ab woh saat janmoon wala masla bhi nipata dijeyega
900050189871927296,0,"Triple Talaq ""Modiji woh teen talaak ka matter clear ho jaaye, toh woh saat janam wala matter bhi dekh lijiye please."""
864121444426543105,0,"Muslims triple talaq ka darr dikhake apni biwiyo ka roj rape karte hn, talak- nikah- baccho ki factory."
899697688496812035,0,abhi chaat k kya matlab. Jisko samjhana tha samajh gaya tum sale intrviw to saare englsh mein dete to Bollywood kaho HIndi Film indutry nahi
898473689510952960,0,"Congress isame kuch nahi bolti esaliye Modi pachad Raha hai har jagah ,avasarvadi politics Congress karate hai Modi gorakshko bhi data hai"
895925301829484544,0,Triple Talaq aur Burkha pe bolne ko bolo toh Anand bhais kalti maar lete hai.
897359919648620544,0,Canadian ko itna bhaw matt diya kar khans khans hota hai aur baki sab bachhe hai...4 khans hi superstars hai bollywood ke baki sab stars
566179778508902400,1,"kaafiron' ko 'masjid' mein 'namaz' perhtay huaay maara gyaa..bohat khoob,mashallah! irony"
900956553049653248,0,Bhai Politics apni jagah par kisi bhi Hindu ladki ko Musalman kehna kaha sahi hai yaar. Ijjat sabse badi chij hai.
898940233198129152,0,Ho gaya lasho pe politics Khel ke? Politicians se toh tu zyada harami hai be. BC.. Mar kyu nahi jaate kahi jaake. Sharam karo madarchodon
563032661380571137,1,Bhai AAP apne sab Kharche ka Hisaab Deti hai.. Sab Jagah.. u r saying jo Party ka 80% ka pata nahi wo hisaab deti hI
900916904067452930,0,yes sir kahete he na ki cricket me kuch bhi ho sakta he kal ke match me dekh bhi liya.
903206001712578561,0,Yeh kya vahiyaat kisam ki ODI cricket hai? SLv IND
886900570610688000,0,Tuje pata Hai kolkta sonagachi main 90% prostitute Teri bahan hai Jo triple talaq or hallala or suvaro ki tarah 10 bachee hone ki wajah se
902016225454170112,0,Muslim bahno ke haq ke liye bohot Josh se ladh rahe they show bhi kiya Triple talaq Ek aurat ki ismat lutne wala Abhi bhi baba hi hai
906436029913210880,0,Pakistani sabiq leg-spinner Abdul Qadir ne kaha hai ke qoumi Cricket team ko World Eleven ke khilaaf series ko aasan na samjha jayeAn Sa R
899678494182957058,0,"AAP Ek apeel ye bhi kar dete ki kripya Hindu mujhe vote na den., Tab hoti Different Politics."
900058615062470656,0,ji ... kya aapne triple talaq ka swagat kiya ki nhi.....
897539467178909696,0,Ek debate program me inhone Kaha tha ki Yogi Jaise Sanki ko Party se Nikal do. Ab Yogi inka role model hai. Politics kya kya na karwaye.
897436025802309632,0,Triple Talaq jab jashoda ko milega
899655296846487552,0,"vese bhi padhkar karna kya he in netaon ke bachho ko, aana to inhe politics me hi he."
903534408182968320,0,Sharjeel Khan K Khilaf Faisla Sakht Palesi Ka Akaas Hai'Cricket Me Bad Unwaani Ki Mashkon Ko Qatai Bardasht Nai Krenge. Najam RP_BebarG Blch
905699033309560832,0,News channel hai kya be. Jab dheko chalu ho jaata hai. Railway ke Pahele toh tera tweet aa jaata hai. Cricket khel bhai tu.
